RequestID,MachineID,Plant,CreatedDate,StartDate,EndDate,Category,Priority,Technician,DowntimeHours,Cost,Status
R-00045,M-001,Plant A,2025-12-26 18:13:00,2025-12-27 02:13:00,2025-12-27 11:13:00,Preventive,High,Alex,1.63,1061.26,Closed
R-00046,M-031,Plant A,2025-03-27 11:37:00,2025-03-27 12:37:00,2025-03-27 19:37:00,Preventive,High,Jamie,1.59,879.3,Closed
R-00047,M-004,Plant B,2024-06-04 05:05:00,2024-06-06 04:05:00,2024-06-06 22:05:00,Corrective,Low,Sam,1.43,3717.15,Closed
R-00048,M-025,Plant A,2025-04-06 15:06:00,2025-04-07 13:06:00,2025-04-07 17:06:00,Preventive,Medium,Riley,0.71,656.76,Closed
R-00049,M-007,Plant B,2024-07-31 21:21:00,2024-08-01 06:21:00,2024-08-01 07:21:00,Preventive,Medium,Jordan,2.59,302.11,Closed
R-00050,M-019,Plant B,2024-02-03 07:54:00,2024-02-03 18:54:00,2024-02-03 20:54:00,Preventive,Medium,Jamie,1.52,408.95,Closed
R-00051,M-052,Plant B,2024-07-21 14:30:00,2024-07-21 18:30:00,2024-07-21 21:30:00,Preventive,High,Jordan,0.0,563.39,Closed
R-00052,M-029,Plant B,2024-05-07 15:59:00,2024-05-08 12:59:00,2024-05-09 04:59:00,Corrective,Medium,Morgan,1.81,2930.12,Closed
R-00053,M-057,Plant A,2025-03-18 11:00:00,2025-03-18 11:00:00,2025-03-18 20:00:00,Corrective,High,Taylor,0.29,2567.03,Closed
R-00054,M-012,Plant A,2025-08-22 14:52:00,2025-08-23 05:52:00,2025-08-23 18:52:00,Corrective,Medium,Sam,7.07,2735.1,Closed
R-00055,M-055,Plant A,2024-06-13 11:15:00,2024-06-13 16:15:00,2024-06-13 18:15:00,Preventive,Medium,Riley,1.49,467.48,Closed
R-00056,M-056,Plant A,2025-06-10 00:02:00,2025-06-10 10:02:00,2025-06-11 02:02:00,Corrective,Medium,Riley,7.99,3116.51,Closed
R-00057,M-041,Plant B,2025-03-28 01:45:00,2025-03-28 20:45:00,2025-03-28 21:45:00,Preventive,Medium,Morgan,0.93,195.09,Closed
R-00058,M-036,Plant B,2024-01-15 18:51:00,2024-01-16 01:51:00,2024-01-16 05:51:00,Preventive,High,Sam,1.03,550.18,Closed
R-00059,M-046,Plant A,2024-10-06 14:10:00,2024-10-07 11:10:00,2024-10-08 01:10:00,Corrective,Low,Taylor,10.2,3539.58,Closed
R-00060,M-056,Plant A,2024-03-12 09:25:00,2024-03-15 01:25:00,2024-03-15 04:25:00,Corrective,Low,Casey,3.75,1725.85,Closed
R-00061,M-054,Plant A,2025-08-24 19:47:00,2025-08-25 16:47:00,2025-08-26 06:47:00,Corrective,Medium,Jordan,1.26,2289.6,Closed
R-00062,M-021,Plant B,2024-07-12 23:48:00,2024-07-13 13:48:00,2024-07-13 16:48:00,Preventive,Medium,Riley,1.1,568.78,Closed
R-00063,M-025,Plant A,2025-01-30 22:39:00,2025-01-31 03:39:00,2025-02-01 00:39:00,Corrective,Medium,Jordan,5.09,3752.29,Closed
R-00064,M-007,Plant B,2025-06-22 15:35:00,2025-06-22 16:35:00,2025-06-23 00:35:00,Preventive,High,Jordan,1.9,1006.54,Closed
R-00065,M-042,Plant A,2024-03-23 11:12:00,2024-03-25 20:12:00,2024-03-26 16:12:00,Corrective,Low,Riley,7.47,3503.49,Closed
R-00066,M-059,Plant B,2024-10-21 07:45:00,2024-10-22 01:45:00,2024-10-22 12:45:00,Corrective,Medium,Sam,6.34,1410.51,Closed
R-00067,M-051,Plant B,2024-02-27 10:00:00,2024-02-28 03:00:00,2024-02-28 09:00:00,Preventive,Medium,Taylor,1.7,938.08,Closed
R-00068,M-040,Plant B,2025-11-30 08:13:00,2025-12-01 08:13:00,2025-12-02 01:13:00,Corrective,Medium,Taylor,7.42,3078.35,Closed
R-00069,M-058,Plant B,2025-04-21 09:49:00,2025-04-21 14:49:00,2025-04-22 11:49:00,Corrective,High,Jamie,2.73,4295.09,Closed
R-00070,M-055,Plant A,2025-05-09 03:38:00,2025-05-09 07:38:00,2025-05-09 15:38:00,Preventive,Medium,Morgan,1.73,990.7,Closed
R-00071,M-037,Plant B,2025-12-03 01:40:00,2025-12-04 00:40:00,2025-12-04 13:40:00,Corrective,Medium,Morgan,2.36,2951.41,Closed
R-00072,M-047,Plant B,2025-11-06 23:14:00,2025-11-07 17:14:00,2025-11-08 05:14:00,Corrective,Medium,Alex,1.78,1519.96,Closed
R-00073,M-059,Plant B,2024-10-29 11:09:00,2024-10-29 19:09:00,2024-10-30 15:09:00,Corrective,High,Jordan,5.67,3107.54,Closed
R-00074,M-052,Plant B,2024-10-29 11:33:00,2024-10-29 22:33:00,2024-10-30 15:33:00,Corrective,Medium,Sam,13.46,2767.16,Closed
R-00075,M-051,Plant B,2025-02-08 00:28:00,2025-02-08 04:28:00,2025-02-08 12:28:00,Preventive,High,Casey,0.99,1077.88,Closed
R-00076,M-036,Plant B,2024-12-01 20:49:00,2024-12-02 00:49:00,2024-12-02 02:49:00,Preventive,High,Jamie,0.49,495.96,Closed
R-00077,M-020,Plant A,2025-05-19 03:57:00,2025-05-20 14:57:00,2025-05-20 19:57:00,Preventive,Low,Jordan,1.09,711.06,Closed
R-00078,M-047,Plant B,2024-06-07 14:09:00,2024-06-09 22:09:00,2024-06-10 11:09:00,Corrective,Low,Riley,1.29,2150.31,Closed
R-00079,M-016,Plant B,2025-01-06 03:23:00,2025-01-06 19:23:00,2025-01-07 03:23:00,Corrective,Medium,Casey,13.08,1321.11,Closed
R-00080,M-014,Plant B,2025-10-19 21:49:00,2025-10-20 00:49:00,2025-10-20 11:49:00,Corrective,High,Casey,3.65,1815.76,Closed
R-00081,M-014,Plant B,2024-08-26 11:12:00,2024-08-27 07:12:00,2024-08-27 17:12:00,Corrective,Low,Alex,12.19,1704.54,Closed
R-00082,M-023,Plant A,2024-08-31 20:05:00,2024-08-31 22:05:00,2024-09-01 04:05:00,Preventive,High,Alex,2.78,815.33,Closed
R-00083,M-050,Plant A,2025-01-05 17:31:00,2025-01-06 13:31:00,2025-01-07 04:31:00,Corrective,Medium,Taylor,7.38,2645.98,Closed
R-00084,M-026,Plant B,2025-03-12 23:25:00,2025-03-13 05:25:00,2025-03-13 10:25:00,Preventive,Medium,Jamie,1.42,589.87,Closed
R-00085,M-018,Plant A,2025-10-01 21:36:00,2025-10-02 10:36:00,2025-10-03 07:36:00,Corrective,Medium,Riley,0.0,2541.35,Closed
R-00086,M-042,Plant A,2025-10-28 18:49:00,2025-10-28 21:49:00,2025-10-29 18:49:00,Corrective,High,Jamie,9.02,3817.63,Closed
R-00087,M-021,Plant B,2025-03-13 10:40:00,2025-03-13 16:40:00,2025-03-13 20:40:00,Corrective,Medium,Jordan,0.0,1191.44,Closed
R-00088,M-009,Plant A,2025-07-23 02:02:00,2025-07-23 19:02:00,2025-07-24 09:02:00,Corrective,Medium,Casey,8.74,1731.04,Closed
R-00089,M-019,Plant B,2025-09-06 10:39:00,2025-09-07 05:39:00,2025-09-07 07:39:00,Preventive,Medium,Taylor,2.04,461.76,Closed
R-00090,M-037,Plant B,2024-08-19 14:38:00,2024-08-20 13:38:00,2024-08-20 22:38:00,Corrective,Low,Alex,2.84,2683.59,Closed
R-00091,M-059,Plant B,2024-12-13 11:58:00,2024-12-15 22:58:00,2024-12-16 04:58:00,Preventive,Low,Riley,2.53,764.5,Closed
R-00092,M-030,Plant A,2024-12-15 05:22:00,2024-12-15 13:22:00,2024-12-15 18:22:00,Preventive,Medium,Sam,2.17,737.17,Closed
R-00093,M-018,Plant A,2025-03-29 22:35:00,2025-03-30 08:35:00,2025-03-30 13:35:00,Preventive,Medium,Riley,1.23,743.03,Closed
R-00094,M-038,Plant A,2025-05-13 17:59:00,2025-05-13 17:59:00,2025-05-14 05:59:00,Corrective,High,Riley,7.6,2998.02,Closed
R-00095,M-019,Plant B,2024-12-01 04:05:00,2024-12-01 20:05:00,2024-12-02 02:05:00,Preventive,Medium,Jordan,0.0,860.72,Closed
R-00096,M-005,Plant A,2025-02-10 01:26:00,2025-02-10 23:26:00,2025-02-11 06:26:00,Preventive,Medium,Sam,1.5,966.41,Closed
R-00097,M-027,Plant B,2024-10-23 03:55:00,2024-10-23 20:55:00,2024-10-24 00:55:00,Preventive,Low,Jordan,1.56,636.31,Closed
R-00098,M-026,Plant B,2024-11-13 11:35:00,2024-11-14 06:35:00,2024-11-14 14:35:00,Preventive,Low,Sam,2.83,962.46,Closed
R-00099,M-050,Plant A,2024-12-23 11:59:00,2024-12-24 08:59:00,2024-12-24 18:59:00,Corrective,Low,Jordan,7.07,2642.26,Closed
R-00100,M-005,Plant A,2024-06-30 21:26:00,2024-07-02 05:26:00,2024-07-02 13:26:00,Corrective,Low,Jamie,8.04,1217.37,Closed
R-00101,M-029,Plant B,2025-10-08 10:20:00,2025-10-08 16:20:00,2025-10-09 10:20:00,Corrective,Medium,Casey,9.73,2688.38,Closed
R-00102,M-042,Plant A,2024-04-02 20:59:00,2024-04-03 18:59:00,2024-04-04 03:59:00,Corrective,Medium,Alex,6.9,2295.68,Closed
R-00103,M-033,Plant A,2024-06-03 02:06:00,2024-06-05 07:06:00,2024-06-05 14:06:00,Corrective,Low,Casey,6.06,1827.34,Closed
R-00104,M-034,Plant A,2025-09-16 05:25:00,2025-09-18 12:25:00,2025-09-18 17:25:00,Preventive,Low,Riley,2.57,786.63,Closed
R-00105,M-042,Plant A,2024-12-08 02:14:00,2024-12-08 14:14:00,2024-12-08 23:14:00,Preventive,Medium,Riley,2.13,1145.08,Closed
R-00106,M-010,Plant B,2024-12-24 10:35:00,2024-12-25 09:35:00,2024-12-25 14:35:00,Corrective,Medium,Riley,3.43,1797.27,Closed
R-00107,M-042,Plant A,2024-12-02 04:21:00,2024-12-03 15:21:00,2024-12-03 18:21:00,Corrective,Low,Sam,2.45,1102.91,Closed
R-00108,M-050,Plant A,2025-05-12 06:33:00,2025-05-12 10:33:00,2025-05-12 20:33:00,Preventive,High,Sam,3.79,1328.52,Closed
R-00109,M-003,Plant A,2025-11-08 11:29:00,2025-11-08 20:29:00,2025-11-09 02:29:00,Corrective,Medium,Riley,2.2,2149.21,Closed
R-00110,M-016,Plant B,2025-03-30 20:50:00,2025-03-31 17:50:00,2025-03-31 22:50:00,Preventive,Medium,Jamie,1.89,797.12,Closed
R-00111,M-013,Plant A,2025-01-11 23:09:00,2025-01-13 19:09:00,2025-01-14 15:09:00,Corrective,Low,Jamie,13.21,3809.44,Closed
R-00112,M-009,Plant A,2024-09-13 01:46:00,2024-09-14 07:46:00,2024-09-14 11:46:00,Corrective,Low,Sam,4.45,1061.01,Closed
R-00113,M-058,Plant B,2025-06-09 05:01:00,2025-06-09 12:01:00,2025-06-09 17:01:00,Corrective,High,Taylor,2.92,1428.31,Closed
R-00114,M-006,Plant A,2025-01-18 07:39:00,2025-01-18 21:39:00,2025-01-19 02:39:00,Preventive,Low,Casey,2.09,768.76,Closed
R-00115,M-009,Plant A,2025-12-23 16:00:00,2025-12-23 16:00:00,2025-12-23 21:00:00,Preventive,High,Sam,0.69,718.01,Closed
R-00116,M-016,Plant B,2024-11-04 04:09:00,2024-11-04 11:09:00,2024-11-04 18:09:00,Preventive,Medium,Jamie,0.84,894.72,Closed
R-00117,M-041,Plant B,2025-06-11 19:37:00,2025-06-11 19:37:00,2025-06-12 03:37:00,Preventive,High,Riley,2.07,1099.11,Closed
R-00118,M-024,Plant A,2024-03-10 17:57:00,2024-03-11 07:57:00,2024-03-11 22:57:00,Corrective,Low,Alex,11.49,2405.21,Closed
R-00119,M-002,Plant A,2024-12-31 02:18:00,2024-12-31 10:18:00,2024-12-31 16:18:00,Preventive,Medium,Sam,0.74,903.02,Closed
R-00120,M-044,Plant B,2025-04-20 23:44:00,2025-04-21 00:44:00,2025-04-21 12:44:00,Corrective,High,Jordan,10.87,2857.91,Closed
R-00121,M-057,Plant A,2024-02-12 10:46:00,2024-02-12 15:46:00,2024-02-13 00:46:00,Corrective,Medium,Jamie,1.66,2500.8,Closed
R-00122,M-022,Plant A,2024-10-06 04:14:00,2024-10-06 20:14:00,2024-10-07 05:14:00,Corrective,Medium,Riley,11.45,2464.55,Closed
R-00123,M-024,Plant A,2025-06-15 09:06:00,2025-06-16 08:06:00,2025-06-16 18:06:00,Corrective,Medium,Sam,5.49,1909.57,Closed
R-00124,M-019,Plant B,2024-11-09 15:13:00,2024-11-10 09:13:00,2024-11-11 01:13:00,Corrective,Medium,Jamie,7.79,3811.43,Closed
R-00125,M-018,Plant A,2025-10-16 01:57:00,2025-10-16 10:57:00,2025-10-16 11:57:00,Preventive,Medium,Casey,2.37,279.06,Closed
R-00126,M-009,Plant A,2024-03-09 08:03:00,2024-03-10 07:03:00,2024-03-11 00:03:00,Corrective,Medium,Riley,1.1,2482.09,Closed
R-00127,M-049,Plant A,2024-03-19 19:35:00,2024-03-20 06:35:00,2024-03-20 07:35:00,Preventive,Medium,Casey,1.97,361.79,Closed
R-00128,M-008,Plant B,2024-09-25 08:53:00,2024-09-25 15:53:00,2024-09-26 03:53:00,Corrective,High,Morgan,10.45,2554.89,Closed
R-00129,M-058,Plant B,2025-12-31 15:11:00,2026-01-02 14:11:00,2026-01-03 02:11:00,Corrective,Low,Casey,9.75,3318.26,Closed
R-00130,M-041,Plant B,2024-06-27 12:20:00,2024-06-27 14:20:00,2024-06-28 08:20:00,Corrective,High,Taylor,0.93,3263.58,Closed
R-00131,M-024,Plant A,2025-04-23 18:49:00,2025-04-26 03:49:00,2025-04-26 11:49:00,Preventive,Low,Sam,0.0,1095.39,Closed
R-00132,M-005,Plant A,2024-05-08 10:49:00,2024-05-09 07:49:00,2024-05-09 14:49:00,Corrective,Medium,Casey,4.9,1747.07,Closed
R-00133,M-059,Plant B,2024-02-26 04:14:00,2024-02-26 15:14:00,2024-02-27 10:14:00,Corrective,Medium,Jordan,7.72,3317.47,Closed
R-00134,M-036,Plant B,2024-10-08 04:16:00,2024-10-09 04:16:00,2024-10-09 10:16:00,Corrective,Medium,Sam,3.5,2100.22,Closed
R-00135,M-047,Plant B,2025-09-11 11:31:00,2025-09-11 16:31:00,2025-09-12 01:31:00,Corrective,Medium,Alex,7.27,2157.14,Closed
R-00136,M-002,Plant A,2025-05-24 21:24:00,2025-05-25 08:24:00,2025-05-25 23:24:00,Corrective,Medium,Morgan,11.05,2806.51,Closed
R-00137,M-045,Plant A,2024-03-02 05:23:00,2024-03-03 04:23:00,2024-03-03 06:23:00,Preventive,Medium,Taylor,0.24,322.42,Closed
R-00138,M-026,Plant B,2024-05-13 12:38:00,2024-05-13 19:38:00,2024-05-14 12:38:00,Corrective,High,Taylor,16.79,2365.86,Closed
R-00139,M-019,Plant B,2025-01-28 21:00:00,2025-01-31 07:00:00,2025-01-31 10:00:00,Preventive,Low,Jordan,1.6,496.54,Closed
R-00140,M-032,Plant B,2024-11-11 16:58:00,2024-11-13 17:58:00,2024-11-13 20:58:00,Preventive,Low,Jamie,0.33,334.43,Closed
R-00141,M-032,Plant B,2025-09-03 22:19:00,2025-09-04 15:19:00,2025-09-05 00:19:00,Corrective,Medium,Alex,3.3,1124.63,Closed
R-00142,M-004,Plant B,2025-08-06 19:10:00,2025-08-07 15:10:00,2025-08-07 21:10:00,Preventive,Medium,Sam,2.26,960.17,Closed
R-00143,M-040,Plant B,2025-11-27 20:51:00,2025-11-29 19:51:00,2025-11-29 22:51:00,Preventive,Low,Riley,1.88,466.07,Closed
R-00144,M-003,Plant A,2024-02-09 04:40:00,2024-02-12 01:40:00,2024-02-12 19:40:00,Corrective,Low,Jamie,10.53,2929.56,Closed
R-00145,M-040,Plant B,2024-11-22 05:32:00,2024-11-23 01:32:00,2024-11-23 09:32:00,Preventive,Medium,Morgan,0.22,928.16,Closed
R-00146,M-002,Plant A,2025-01-12 11:18:00,2025-01-14 05:18:00,2025-01-14 14:18:00,Corrective,Low,Morgan,6.33,2714.18,Closed
R-00147,M-050,Plant A,2025-08-15 19:42:00,2025-08-15 21:42:00,2025-08-16 09:42:00,Preventive,High,Jamie,2.41,1299.61,Closed
R-00148,M-045,Plant A,2024-04-22 06:30:00,2024-04-22 16:30:00,2024-04-23 00:30:00,Preventive,Medium,Jordan,2.71,1135.61,Closed
R-00149,M-056,Plant A,2024-03-04 04:42:00,2024-03-04 20:42:00,2024-03-05 05:42:00,Corrective,Medium,Jamie,9.12,1744.88,Closed
R-00150,M-050,Plant A,2025-11-28 21:57:00,2025-11-29 08:57:00,2025-11-29 19:57:00,Corrective,Medium,Jamie,4.08,3031.25,Closed
R-00151,M-020,Plant A,2024-10-22 07:04:00,2024-10-23 04:04:00,2024-10-23 15:04:00,Corrective,Medium,Jamie,10.33,2140.02,Closed
R-00152,M-026,Plant B,2024-12-19 04:59:00,2024-12-19 22:59:00,2024-12-20 00:59:00,Preventive,Medium,Sam,2.54,397.72,Closed
R-00153,M-013,Plant A,2025-07-05 09:15:00,2025-07-06 08:15:00,2025-07-06 17:15:00,Corrective,Medium,Jordan,14.24,1660.97,Closed
R-00154,M-015,Plant B,2024-02-23 03:25:00,2024-02-23 07:25:00,2024-02-23 11:25:00,Preventive,Medium,Sam,2.18,670.31,Closed
R-00155,M-057,Plant A,2025-05-02 16:17:00,2025-05-04 21:17:00,2025-05-05 00:17:00,Corrective,Low,Morgan,4.32,1739.75,Closed
R-00156,M-055,Plant A,2024-02-08 05:58:00,2024-02-09 04:58:00,2024-02-09 11:58:00,Preventive,Low,Alex,0.91,1026.27,Closed
R-00157,M-001,Plant A,2024-11-01 19:23:00,2024-11-04 00:23:00,2024-11-04 20:23:00,Corrective,Low,Casey,7.65,3269.07,Closed
R-00158,M-018,Plant A,2024-07-16 03:50:00,2024-07-16 07:50:00,2024-07-16 11:50:00,Preventive,Medium,Morgan,1.16,608.2,Closed
R-00159,M-049,Plant A,2024-07-16 05:59:00,2024-07-17 01:59:00,2024-07-17 07:59:00,Corrective,Medium,Riley,4.76,1000.01,Closed
R-00160,M-021,Plant B,2024-09-11 00:13:00,2024-09-11 05:13:00,2024-09-11 15:13:00,Preventive,High,Morgan,0.94,1117.38,Closed
R-00161,M-024,Plant A,2025-12-10 08:03:00,2025-12-10 10:03:00,2025-12-10 21:03:00,Preventive,High,Morgan,0.98,1464.48,Closed
R-00162,M-024,Plant A,2025-09-21 07:32:00,2025-09-21 14:32:00,2025-09-22 02:32:00,Preventive,High,Jordan,0.17,1550.96,Closed
R-00163,M-049,Plant A,2025-07-04 22:40:00,2025-07-06 19:40:00,2025-07-07 08:40:00,Corrective,Low,Sam,7.69,2916.51,Closed
R-00164,M-058,Plant B,2025-06-01 06:54:00,2025-06-01 14:54:00,2025-06-02 06:54:00,Corrective,High,Casey,5.03,2829.64,Closed
R-00165,M-058,Plant B,2025-06-06 15:12:00,2025-06-07 13:12:00,2025-06-08 04:12:00,Corrective,Medium,Riley,8.24,2600.39,Closed
R-00166,M-053,Plant A,2024-01-04 07:26:00,2024-01-04 08:26:00,2024-01-04 15:26:00,Corrective,High,Casey,0.0,1390.89,Closed
R-00167,M-012,Plant A,2024-05-18 21:53:00,2024-05-19 13:53:00,2024-05-20 05:53:00,Corrective,Medium,Riley,15.04,3532.21,Closed
R-00168,M-009,Plant A,2025-10-31 11:52:00,2025-11-02 21:52:00,2025-11-02 23:52:00,Preventive,Low,Riley,2.75,446.37,Closed
R-00169,M-020,Plant A,2025-04-19 22:59:00,2025-04-20 09:59:00,2025-04-20 22:59:00,Corrective,Medium,Riley,4.49,2898.36,Closed
R-00170,M-008,Plant B,2024-02-02 22:32:00,2024-02-03 14:32:00,2024-02-03 18:32:00,Preventive,Low,Alex,3.82,548.79,Closed
R-00171,M-039,Plant B,2025-11-19 01:39:00,2025-11-19 04:39:00,2025-11-19 09:39:00,Preventive,High,Jamie,2.23,857.49,Closed
R-00172,M-037,Plant B,2024-11-22 19:42:00,2024-11-23 08:42:00,2024-11-23 13:42:00,Corrective,Medium,Casey,5.88,1812.72,Closed
R-00173,M-027,Plant B,2024-11-03 09:23:00,2024-11-05 04:23:00,2024-11-05 06:23:00,Preventive,Low,Jordan,2.89,507.92,Closed
R-00174,M-021,Plant B,2025-12-14 14:12:00,2025-12-15 09:12:00,2025-12-15 12:12:00,Preventive,Medium,Jordan,0.96,552.87,Closed
R-00175,M-010,Plant B,2025-04-19 01:58:00,2025-04-20 05:58:00,2025-04-20 14:58:00,Corrective,Low,Jordan,0.54,2739.61,Closed
R-00176,M-006,Plant A,2025-07-02 06:30:00,2025-07-02 16:30:00,2025-07-02 20:30:00,Preventive,Medium,Alex,0.0,620.97,Closed
R-00177,M-014,Plant B,2025-05-05 07:07:00,2025-05-05 17:07:00,2025-05-05 21:07:00,Corrective,Medium,Alex,10.57,1229.57,Closed
